Variable,Breakdown,Breakdown_category,Year,RD_Value,Status,Unit,Footnotes,Relative_Sampling_Error,New_Column
_03_Current_and_Capital_Expenditure:_Capital_Expenditure:_Total,Sector,01_Business Sector,2023,332,R,NZ Dollars (millions),1 and 12 and 28,25.6,Sector
_12b_Purpose_of_research:_Manufacturing,Sector,01_Business Sector,2022,560,R,NZ Dollars (millions),1 and 12 and 15 and 28,8.8,Sector
_13_Broad_purpose_of_research:_Society,Industry,03_Services Industry Group,2023,371,R,NZ Dollars (millions),12 and 15 and 19 and 28,22.3,Industry
_22a_Personnel_by_Occupation:_FTE:_Researcher_Employees,Published_Industry,12_Computer services,2023,5000,R,Number of employees,14 and 28,12.9,Published_Industry
_37_Personnel_by_Qualification:_FTE:_Total,ANZSIC_1_Digit,C_Manufacturing,2022,4900,R,Number of employees,14 and 28,5.9,ANZSIC_1_Digit
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Published_Industry,02_Food_Manufacturing,2023,64,R,NZ Dollars (millions),12 and 28,19.6,Published_Industry
_11_Broad_purpose_of_research:_Primary_Industries,Total,Total,2022,755,R,NZ Dollars (millions),12 and 15 and 17 and 28,7.9,Total
_13a_Purpose_of_research:_Health,Sector,01_Business Sector,2023,497,R,NZ Dollars (millions),1 and 12 and 15 and 28,16.1,Sector
_11a_Purpose_of_research:_Primary:_Total,Industry,02_Manufacturing Industry Group,2022,151,R,NZ Dollars (millions),12 and 15 and 28,17.4,Industry
_12ci_Purpose_of_research:_Construction,Total,Total,2022,185,R,NZ Dollars (millions),12 and 15 and 28,10.8,Total
_12d_Purpose_of_research:_Information_and_communication_services,Industry,03_Services Industry Group,2022,594,R,NZ Dollars (millions),12 and 15 and 28,20.1,Industry
_17_Type_of_research:_Experimental,Published_Industry,10_Wholesale trade,2023,127,R,NZ Dollars (millions),12 and 26 and 28,16.3,Published_Industry
_06_Source_of_Funds:_New_Zealand_Private_sector,Total,Total,2022,2725,R,NZ Dollars (millions),12 and 28,5.9,Total
_04_Current_and_Capital_Expenditure:_Other_current_expenditure,Sector,01_Business Sector,2022,961,R,NZ Dollars (millions),1 and 12 and 28,6.8,Sector
_12c_Purpose_of_research:_Construction_and_transport:_Total,Published_Industry,12_Computer services,2023,118,R,NZ Dollars (millions),12 and 15 and 28,19.7,Published_Industry
_11a_Purpose_of_research:_Primary:_Total,Published_Industry,11_Scientific research and technical services,2023,82,R,NZ Dollars (millions),12 and 15 and 28,34.2,Published_Industry
_11ai_Purpose_of_research:_Primary:_Plant_production_and_plant_primary_products,Size,06_100 or more employees,2022,240,R,NZ Dollars (millions),5 and 12 and 15 and 28,6.2,Size
_12b_Purpose_of_research:_Manufacturing,Industry,03_Services Industry Group,2023,189,R,NZ Dollars (millions),12 and 15 and 28,16.5,Industry
_13_Broad_purpose_of_research:_Society,Total,Total,2022,1125,R,NZ Dollars (millions),12 and 15 and 19 and 28,5.7,Total
_14_Broad_purpose_of_research:_Other,Industry,03_Services Industry Group,2023,281,R,NZ Dollars (millions),12 and 15 and 20 and 28,20.7,Industry
